"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed"
"6584","
        <p>Hello!</p>
        <p>You will be taking part in a toy experiment.
          You will see one of two letters displayed on the screen (F or J).</p>
        <p> Your role will be to press the key corresponding to the letter.
          <b>Please answer as fast as you can!</b></p>
        <p>Press any key to continue.</p>
        "," ","html-keyboard-response","0","2.0.0","6586"
"874","J","j","html-keyboard-response","1","2.0.0","7460"
"834","J","j","html-keyboard-response","2","2.0.0","8294"
"828","F","f","html-keyboard-response","3","2.0.0","9123"
"904","F","f","html-keyboard-response","4","2.0.0","10028"
"749","F","f","html-keyboard-response","5","2.0.0","10778"
"712","F","f","html-keyboard-response","6","2.0.0","11490"
"812","J","j","html-keyboard-response","7","2.0.0","12302"
"747","J","j","html-keyboard-response","8","2.0.0","13050"
"746","F","f","html-keyboard-response","9","2.0.0","13797"
"1009","F","f","html-keyboard-response","10","2.0.0","14806"
"767","J","j","html-keyboard-response","11","2.0.0","15573"
"780","F","f","html-keyboard-response","12","2.0.0","16354"
"764","J","j","html-keyboard-response","13","2.0.0","17119"
"759","J","j","html-keyboard-response","14","2.0.0","17878"
"749","F","f","html-keyboard-response","15","2.0.0","18628"
"723","J","j","html-keyboard-response","16","2.0.0","19351"
"695","F","f","html-keyboard-response","17","2.0.0","20046"
"876","J","j","html-keyboard-response","18","2.0.0","20923"
"718","J","j","html-keyboard-response","19","2.0.0","21642"
"644","F","f","html-keyboard-response","20","2.0.0","22287"
