"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed"
"440","
        <p>Hello!</p>
        <p>You will be taking part in a toy experiment.
          You will see the letters 'F' or 'J' displayed on the screen.</p>
        <p> Your role will be to press the key corresponding to the letter.</p>
        <p>Press any key to continue.</p>
        ","a","html-keyboard-response","0","2.1.0","442"
"995","F","f","html-keyboard-response","1","2.1.0","1438"
"null","","null","html-keyboard-response","2","2.1.0","1501"
"710","J","j","html-keyboard-response","3","2.1.0","2211"
"null","","null","html-keyboard-response","4","2.1.0","2267"
"600","J","j","html-keyboard-response","5","2.1.0","2868"
"null","","null","html-keyboard-response","6","2.1.0","2927"
"672","J","j","html-keyboard-response","7","2.1.0","3599"
"null","","null","html-keyboard-response","8","2.1.0","3650"
"487","F","f","html-keyboard-response","9","2.1.0","4138"
"null","","null","html-keyboard-response","10","2.1.0","4199"
"505","J","j","html-keyboard-response","11","2.1.0","4704"
"null","","null","html-keyboard-response","12","2.1.0","4757"
"473","J","j","html-keyboard-response","13","2.1.0","5231"
"null","","null","html-keyboard-response","14","2.1.0","5283"
"431","F","f","html-keyboard-response","15","2.1.0","5714"
"null","","null","html-keyboard-response","16","2.1.0","5766"
"487","F","f","html-keyboard-response","17","2.1.0","6254"
"null","","null","html-keyboard-response","18","2.1.0","6317"
"504","F","f","html-keyboard-response","19","2.1.0","6822"
"null","","null","html-keyboard-response","20","2.1.0","6885"
"609","F","f","html-keyboard-response","21","2.1.0","7494"
"null","","null","html-keyboard-response","22","2.1.0","7551"
"440","J","j","html-keyboard-response","23","2.1.0","7992"
"null","","null","html-keyboard-response","24","2.1.0","8052"
"446","F","f","html-keyboard-response","25","2.1.0","8498"
"null","","null","html-keyboard-response","26","2.1.0","8551"
"674","F","f","html-keyboard-response","27","2.1.0","9226"
"null","","null","html-keyboard-response","28","2.1.0","9285"
"1454","J","j","html-keyboard-response","29","2.1.0","10740"
"null","","null","html-keyboard-response","30","2.1.0","10801"
"434","J","j","html-keyboard-response","31","2.1.0","11235"
"null","","null","html-keyboard-response","32","2.1.0","11285"
"459","J","j","html-keyboard-response","33","2.1.0","11744"
"null","","null","html-keyboard-response","34","2.1.0","11801"
"425","F","f","html-keyboard-response","35","2.1.0","12226"
"null","","null","html-keyboard-response","36","2.1.0","12285"
"499","F","f","html-keyboard-response","37","2.1.0","12784"
"null","","null","html-keyboard-response","38","2.1.0","12852"
"407","J","j","html-keyboard-response","39","2.1.0","13259"
"null","","null","html-keyboard-response","40","2.1.0","13315"
